d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.300206, 0.710043
1, 0.100000, 10, 1, 0.300182, 0.688387
1, 0.100000, 10, 2, 0.300196, 0.694147
1, 0.100000, 10, 3, 0.300214, 0.700302
1, 0.100000, 10, 4, 0.300186, 0.692259
1, 0.100000, 10, 5, 0.300209, 0.686911
1, 0.100000, 10, 6, 0.300221, 0.694584
1, 0.100000, 10, 7, 0.300208, 0.679694
1, 0.100000, 10, 8, 0.300215, 0.678185
1, 0.100000, 10, 9, 0.300184, 0.684816
10, 0.100000, 10, 0, 0.300211, 6.976079
10, 0.100000, 10, 1, 0.300197, 6.816818
10, 0.100000, 10, 2, 0.300199, 6.741778
10, 0.100000, 10, 3, 0.300197, 6.775678
10, 0.100000, 10, 4, 0.300201, 6.755945
10, 0.100000, 10, 5, 0.300205, 6.752298
10, 0.100000, 10, 6, 0.300212, 6.730214
10, 0.100000, 10, 7, 0.300194, 6.734031
10, 0.100000, 10, 8, 0.300204, 6.713592
10, 0.100000, 10, 9, 0.300204, 6.741829
100, 0.100000, 10, 0, 0.300198, 69.168587
100, 0.100000, 10, 1, 0.300198, 67.767313
100, 0.100000, 10, 2, 0.300199, 68.183165
100, 0.100000, 10, 3, 0.300199, 68.133120
100, 0.100000, 10, 4, 0.300199, 69.216348
100, 0.100000, 10, 5, 0.300201, 68.307766
100, 0.100000, 10, 6, 0.300199, 67.296113
100, 0.100000, 10, 7, 0.300201, 66.941258
100, 0.100000, 10, 8, 0.300200, 69.121281
100, 0.100000, 10, 9, 0.300199, 68.854448
