d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.300739, 0.081301
1, 0.100000, 10, 1, 0.300634, 0.082608
1, 0.100000, 10, 2, 0.300746, 0.081864
1, 0.100000, 10, 3, 0.300905, 0.077994
1, 0.100000, 10, 4, 0.300609, 0.081752
1, 0.100000, 10, 5, 0.300831, 0.077379
1, 0.100000, 10, 6, 0.300617, 0.080135
1, 0.100000, 10, 7, 0.300661, 0.079172
1, 0.100000, 10, 8, 0.300755, 0.078874
1, 0.100000, 10, 9, 0.300742, 0.088720
10, 0.100000, 10, 0, 0.300665, 0.340498
10, 0.100000, 10, 1, 0.300696, 0.299172
10, 0.100000, 10, 2, 0.300669, 0.281385
10, 0.100000, 10, 3, 0.300701, 0.308520
10, 0.100000, 10, 4, 0.300687, 0.299640
10, 0.100000, 10, 5, 0.300724, 0.299344
10, 0.100000, 10, 6, 0.300650, 0.302634
10, 0.100000, 10, 7, 0.300683, 0.313560
10, 0.100000, 10, 8, 0.300666, 0.299759
10, 0.100000, 10, 9, 0.300672, 0.286217
100, 0.100000, 10, 0, 0.300700, 18.493394
100, 0.100000, 10, 1, 0.300688, 18.589788
100, 0.100000, 10, 2, 0.300693, 18.858949
100, 0.100000, 10, 3, 0.300710, 19.316373
100, 0.100000, 10, 4, 0.300697, 19.093256
100, 0.100000, 10, 5, 0.300705, 19.057657
100, 0.100000, 10, 6, 0.300704, 19.155450
100, 0.100000, 10, 7, 0.300695, 18.820654
100, 0.100000, 10, 8, 0.300681, 18.709122
100, 0.100000, 10, 9, 0.300699, 19.381174
