d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.301434, 31.679050
1, 0.100000, 10, 1, 0.299072, 30.323533
1, 0.100000, 10, 2, 0.299448, 30.497071
1, 0.100000, 10, 3, 0.299795, 30.359771
1, 0.100000, 10, 4, 0.301722, 30.466624
1, 0.100000, 10, 5, 0.300387, 30.527584
1, 0.100000, 10, 6, 0.302933, 30.430930
1, 0.100000, 10, 7, 0.301415, 30.345431
1, 0.100000, 10, 8, 0.299820, 30.460614
1, 0.100000, 10, 9, 0.302133, 30.406382
10, 0.100000, 10, 0, 0.300881, 30.608821
10, 0.100000, 10, 1, 0.300925, 30.584648
10, 0.100000, 10, 2, 0.301519, 30.574106
10, 0.100000, 10, 3, 0.301480, 30.521899
10, 0.100000, 10, 4, 0.301507, 30.501770
10, 0.100000, 10, 5, 0.301203, 30.533403
10, 0.100000, 10, 6, 0.300999, 30.657339
10, 0.100000, 10, 7, 0.301002, 30.520577
10, 0.100000, 10, 8, 0.300352, 30.425416
10, 0.100000, 10, 9, 0.300477, 30.406579
100, 0.100000, 10, 0, 0.300671, 34.412201
100, 0.100000, 10, 1, 0.300483, 34.536895
100, 0.100000, 10, 2, 0.300666, 34.836067
100, 0.100000, 10, 3, 0.300583, 34.557289
100, 0.100000, 10, 4, 0.300617, 34.476425
100, 0.100000, 10, 5, 0.300760, 34.808939
100, 0.100000, 10, 6, 0.300588, 34.432741
100, 0.100000, 10, 7, 0.300879, 34.575713
100, 0.100000, 10, 8, 0.300664, 34.460891
100, 0.100000, 10, 9, 0.300435, 34.425286
