d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.999912, 61.869051
1, 0.100000, 10, 1, 0.999918, 60.543113
1, 0.100000, 10, 2, 1.001011, 60.185825
1, 0.100000, 10, 3, 0.998563, 60.440498
1, 0.100000, 10, 4, 0.998129, 60.761838
1, 0.100000, 10, 5, 0.998133, 60.452360
1, 0.100000, 10, 6, 0.997954, 60.763402
1, 0.100000, 10, 7, 1.001051, 60.652306
1, 0.100000, 10, 8, 0.997201, 60.765973
1, 0.100000, 10, 9, 1.001438, 60.728735
10, 0.100000, 10, 0, 0.993011, 61.705583
10, 0.100000, 10, 1, 0.995227, 61.728469
10, 0.100000, 10, 2, 0.995576, 61.833700
10, 0.100000, 10, 3, 0.990845, 61.501785
10, 0.100000, 10, 4, 0.994507, 61.893193
10, 0.100000, 10, 5, 0.988843, 61.613740
10, 0.100000, 10, 6, 0.991887, 61.776425
10, 0.100000, 10, 7, 0.994145, 61.755420
10, 0.100000, 10, 8, 0.996658, 61.563244
10, 0.100000, 10, 9, 0.999235, 61.813344
100, 0.100000, 10, 0, 0.980316, 81.438820
100, 0.100000, 10, 1, 0.956284, 81.262532
100, 0.100000, 10, 2, 0.948805, 81.242600
100, 0.100000, 10, 3, 0.999889, 81.202183
100, 0.100000, 10, 4, 0.975495, 81.280685
100, 0.100000, 10, 5, 0.966053, 81.240231
100, 0.100000, 10, 6, 0.958031, 81.371545
100, 0.100000, 10, 7, 0.960801, 81.438797
100, 0.100000, 10, 8, 1.004217, 81.331419
100, 0.100000, 10, 9, 0.957939, 81.263911
