d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.302292, 40.484198
1, 0.100000, 10, 1, 0.298650, 40.104629
1, 0.100000, 10, 2, 0.299349, 40.410574
1, 0.100000, 10, 3, 0.299242, 40.628660
1, 0.100000, 10, 4, 0.302620, 39.921489
1, 0.100000, 10, 5, 0.300818, 39.953057
1, 0.100000, 10, 6, 0.304583, 40.480127
1, 0.100000, 10, 7, 0.302561, 40.478942
1, 0.100000, 10, 8, 0.300303, 41.124185
1, 0.100000, 10, 9, 0.302410, 40.229686
10, 0.100000, 10, 0, 0.299869, 48.877280
10, 0.100000, 10, 1, 0.301789, 49.024169
10, 0.100000, 10, 2, 0.302044, 49.052130
10, 0.100000, 10, 3, 0.302156, 48.217022
10, 0.100000, 10, 4, 0.302400, 49.154118
10, 0.100000, 10, 5, 0.301870, 49.681676
10, 0.100000, 10, 6, 0.301478, 49.986698
10, 0.100000, 10, 7, 0.302397, 49.493779
10, 0.100000, 10, 8, 0.300195, 50.696042
10, 0.100000, 10, 9, 0.301542, 50.084111
100, 0.100000, 10, 0, 0.301093, 231.273274
100, 0.100000, 10, 1, 0.300964, 242.143861
100, 0.100000, 10, 2, 0.301208, 238.973778
100, 0.100000, 10, 3, 0.300994, 240.326704
100, 0.100000, 10, 4, 0.301255, 242.365624
100, 0.100000, 10, 5, 0.301249, 245.880150
100, 0.100000, 10, 6, 0.301005, 236.425473
100, 0.100000, 10, 7, 0.301290, 239.921970
100, 0.100000, 10, 8, 0.301178, 235.058174
100, 0.100000, 10, 9, 0.301173, 239.236026
