d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.300329, 1.355325
1, 0.100000, 10, 1, 0.300687, 1.330398
1, 0.100000, 10, 2, 0.300457, 1.371638
1, 0.100000, 10, 3, 0.300185, 1.395087
1, 0.100000, 10, 4, 0.300275, 1.364777
1, 0.100000, 10, 5, 0.300137, 1.399283
1, 0.100000, 10, 6, 0.299999, 1.412792
1, 0.100000, 10, 7, 0.300172, 1.403634
1, 0.100000, 10, 8, 0.300537, 1.376907
1, 0.100000, 10, 9, 0.300150, 1.371553
10, 0.100000, 10, 0, 0.300157, 1.938315
10, 0.100000, 10, 1, 0.300182, 1.895047
10, 0.100000, 10, 2, 0.300167, 1.860917
10, 0.100000, 10, 3, 0.300261, 1.895502
10, 0.100000, 10, 4, 0.300237, 1.898240
10, 0.100000, 10, 5, 0.300262, 1.943295
10, 0.100000, 10, 6, 0.300179, 1.999349
10, 0.100000, 10, 7, 0.300175, 1.924619
10, 0.100000, 10, 8, 0.300253, 1.941188
10, 0.100000, 10, 9, 0.300270, 1.947199
100, 0.100000, 10, 0, 0.300137, 24.983331
100, 0.100000, 10, 1, 0.300167, 24.948762
100, 0.100000, 10, 2, 0.300207, 24.334594
100, 0.100000, 10, 3, 0.300217, 26.038734
100, 0.100000, 10, 4, 0.300199, 24.721035
100, 0.100000, 10, 5, 0.300171, 23.174102
100, 0.100000, 10, 6, 0.300259, 22.833542
100, 0.100000, 10, 7, 0.300216, 23.098644
100, 0.100000, 10, 8, 0.300194, 22.706481
100, 0.100000, 10, 9, 0.300216, 22.631004
