d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.300944, 1.279023
1, 0.100000, 10, 1, 0.300386, 1.260857
1, 0.100000, 10, 2, 0.300865, 1.278100
1, 0.100000, 10, 3, 0.300710, 1.283583
1, 0.100000, 10, 4, 0.300163, 1.270851
1, 0.100000, 10, 5, 0.301005, 1.295975
1, 0.100000, 10, 6, 0.300495, 1.267278
1, 0.100000, 10, 7, 0.300915, 1.282018
1, 0.100000, 10, 8, 0.300792, 1.272453
1, 0.100000, 10, 9, 0.300463, 1.267583
10, 0.100000, 10, 0, 0.300643, 1.644388
10, 0.100000, 10, 1, 0.300876, 1.678605
10, 0.100000, 10, 2, 0.300811, 1.753401
10, 0.100000, 10, 3, 0.300919, 1.642078
10, 0.100000, 10, 4, 0.300859, 1.647197
10, 0.100000, 10, 5, 0.300600, 1.666307
10, 0.100000, 10, 6, 0.300688, 1.662573
10, 0.100000, 10, 7, 0.300691, 1.679376
10, 0.100000, 10, 8, 0.300509, 1.654129
10, 0.100000, 10, 9, 0.300659, 1.685188
100, 0.100000, 10, 0, 0.310172, 21.538918
100, 0.100000, 10, 1, 0.301144, 21.507624
100, 0.100000, 10, 2, 0.301313, 22.730080
100, 0.100000, 10, 3, 0.304578, 23.021369
100, 0.100000, 10, 4, 0.309894, 23.060385
100, 0.100000, 10, 5, 0.301921, 22.935645
100, 0.100000, 10, 6, 0.301046, 23.108027
100, 0.100000, 10, 7, 0.302292, 23.763571
100, 0.100000, 10, 8, 0.299159, 22.729986
100, 0.100000, 10, 9, 0.304083, 23.390731
