d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 1.030766, 0.162407
1, 0.100000, 10, 1, 1.061902, 0.162032
1, 0.100000, 10, 2, 1.064766, 0.162406
1, 0.100000, 10, 3, 1.056435, 0.162173
1, 0.100000, 10, 4, 1.056414, 0.162611
1, 0.100000, 10, 5, 1.076060, 0.162540
1, 0.100000, 10, 6, 1.091784, 0.161625
1, 0.100000, 10, 7, 1.096447, 0.162447
1, 0.100000, 10, 8, 1.080166, 0.161997
1, 0.100000, 10, 9, 1.094117, 0.162077
10, 0.100000, 10, 0, 1.997302, 0.512619
10, 0.100000, 10, 1, 2.480201, 0.515416
10, 0.100000, 10, 2, 2.125105, 0.517971
10, 0.100000, 10, 3, 2.102447, 0.515937
10, 0.100000, 10, 4, 2.064584, 0.517091
10, 0.100000, 10, 5, 1.946604, 0.515354
10, 0.100000, 10, 6, 2.347282, 0.516639
10, 0.100000, 10, 7, 2.006435, 0.516020
10, 0.100000, 10, 8, 1.781927, 0.518246
10, 0.100000, 10, 9, 2.465088, 0.515835
100, 0.100000, 10, 0, 509.582667, 70.734098
100, 0.100000, 10, 1, 435.811017, 70.376409
100, 0.100000, 10, 2, 232.361572, 72.359396
100, 0.100000, 10, 3, 407.048828, 69.612298
100, 0.100000, 10, 4, 191.338236, 70.416144
100, 0.100000, 10, 5, 356.933377, 69.907032
100, 0.100000, 10, 6, 457.971592, 69.421321
100, 0.100000, 10, 7, 672.715931, 69.575039
100, 0.100000, 10, 8, 330.328557, 68.764012
100, 0.100000, 10, 9, 538.479666, 68.876800
