d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.301093, 10.453166
1, 0.100000, 10, 1, 0.299231, 9.595882
1, 0.100000, 10, 2, 0.299249, 10.342038
1, 0.100000, 10, 3, 0.301752, 9.817266
1, 0.100000, 10, 4, 0.298399, 10.504970
1, 0.100000, 10, 5, 0.299174, 10.116447
1, 0.100000, 10, 6, 0.302043, 9.799011
1, 0.100000, 10, 7, 0.301114, 9.379339
1, 0.100000, 10, 8, 0.300634, 9.740580
1, 0.100000, 10, 9, 0.300033, 9.540274
10, 0.100000, 10, 0, 0.300823, 381.076147
10, 0.100000, 10, 1, 0.299169, 424.946294
10, 0.100000, 10, 2, 0.300450, 413.768148
10, 0.100000, 10, 3, 0.298447, 409.238945
10, 0.100000, 10, 4, 0.298182, 411.620399
10, 0.100000, 10, 5, 0.302927, 421.228002
10, 0.100000, 10, 6, 0.303086, 426.305962
10, 0.100000, 10, 7, 0.299506, 398.166230
10, 0.100000, 10, 8, 0.302544, 405.663341
10, 0.100000, 10, 9, 0.297117, 416.084306
