d,T,N,run,y0,runtime
1, 1.000000, 100, 0, 0.304567, 18.098476
1, 1.000000, 100, 1, 0.303127, 19.678843
1, 1.000000, 100, 2, 0.303220, 17.811380
1, 1.000000, 100, 3, 0.303406, 17.908417
1, 1.000000, 100, 4, 0.303418, 18.254946
1, 1.000000, 100, 5, 0.303872, 19.768188
1, 1.000000, 100, 6, 0.295926, 18.243705
1, 1.000000, 100, 7, 0.301373, 18.170566
1, 1.000000, 100, 8, 0.303063, 20.197768
1, 1.000000, 100, 9, 0.304110, 18.660169
10, 1.000000, 100, 0, 0.303414, 462.951229
10, 1.000000, 100, 1, 0.304951, 462.559556
10, 1.000000, 100, 2, 0.303278, 469.844092
10, 1.000000, 100, 3, 0.300943, 467.200839
10, 1.000000, 100, 4, 0.301627, 464.160864
10, 1.000000, 100, 5, 0.304571, 466.241589
10, 1.000000, 100, 6, 0.300776, 466.761279
10, 1.000000, 100, 7, 0.303158, 470.759839
10, 1.000000, 100, 8, 0.301924, 468.882261
10, 1.000000, 100, 9, 0.300782, 470.969584
