d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.300690, 3.343744
1, 0.100000, 10, 1, 0.299574, 3.309274
1, 0.100000, 10, 2, 0.299251, 3.328753
1, 0.100000, 10, 3, 0.299198, 3.267486
1, 0.100000, 10, 4, 0.302388, 3.274938
1, 0.100000, 10, 5, 0.301447, 3.278124
1, 0.100000, 10, 6, 0.298681, 3.254091
1, 0.100000, 10, 7, 0.301732, 3.285392
1, 0.100000, 10, 8, 0.300032, 3.258712
1, 0.100000, 10, 9, 0.302320, 3.308372
10, 0.100000, 10, 0, 0.303377, 70.344453
10, 0.100000, 10, 1, 0.302239, 73.402257
10, 0.100000, 10, 2, 0.300212, 71.677814
10, 0.100000, 10, 3, 0.300407, 70.676859
10, 0.100000, 10, 4, 0.303608, 70.352442
10, 0.100000, 10, 5, 0.296792, 70.178767
10, 0.100000, 10, 6, 0.300229, 70.508491
10, 0.100000, 10, 7, 0.300883, 69.917621
10, 0.100000, 10, 8, 0.298621, 69.762816
10, 0.100000, 10, 9, 0.299478, 69.680209
