d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.300194, 1.270037
1, 0.100000, 10, 1, 0.300306, 1.261505
1, 0.100000, 10, 2, 0.300261, 1.253235
1, 0.100000, 10, 3, 0.300478, 1.264071
1, 0.100000, 10, 4, 0.300112, 1.344834
1, 0.100000, 10, 5, 0.300216, 1.404175
1, 0.100000, 10, 6, 0.299958, 1.292257
1, 0.100000, 10, 7, 0.300788, 1.286144
1, 0.100000, 10, 8, 0.300205, 1.275469
1, 0.100000, 10, 9, 0.300250, 1.260593
10, 0.100000, 10, 0, 0.300180, 1.782058
10, 0.100000, 10, 1, 0.300116, 1.738164
10, 0.100000, 10, 2, 0.300219, 1.731273
10, 0.100000, 10, 3, 0.300224, 1.759252
10, 0.100000, 10, 4, 0.300263, 1.744166
10, 0.100000, 10, 5, 0.300273, 1.721338
10, 0.100000, 10, 6, 0.300287, 1.704927
10, 0.100000, 10, 7, 0.300232, 1.709542
10, 0.100000, 10, 8, 0.300112, 1.730129
10, 0.100000, 10, 9, 0.300231, 1.712456
100, 0.100000, 10, 0, 0.300205, 22.920326
100, 0.100000, 10, 1, 0.300184, 22.263164
100, 0.100000, 10, 2, 0.300207, 22.218429
100, 0.100000, 10, 3, 0.300178, 22.332684
100, 0.100000, 10, 4, 0.300161, 22.283267
100, 0.100000, 10, 5, 0.300159, 23.739043
100, 0.100000, 10, 6, 0.300227, 22.319663
100, 0.100000, 10, 7, 0.300233, 22.116894
100, 0.100000, 10, 8, 0.300167, 22.687114
100, 0.100000, 10, 9, 0.300202, 22.751196
