d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.299969, 0.507746
1, 0.100000, 10, 1, 0.299953, 0.508280
1, 0.100000, 10, 2, 0.300535, 0.508740
1, 0.100000, 10, 3, 0.300124, 0.508617
1, 0.100000, 10, 4, 0.300231, 0.509046
1, 0.100000, 10, 5, 0.300344, 0.507527
1, 0.100000, 10, 6, 0.300117, 0.509807
1, 0.100000, 10, 7, 0.300255, 0.508954
1, 0.100000, 10, 8, 0.300128, 0.508840
1, 0.100000, 10, 9, 0.300220, 0.510298
10, 0.100000, 10, 0, 0.300035, 0.732491
10, 0.100000, 10, 1, 0.300181, 0.728184
10, 0.100000, 10, 2, 0.300131, 0.728837
10, 0.100000, 10, 3, 0.300270, 0.725381
10, 0.100000, 10, 4, 0.300200, 0.718776
10, 0.100000, 10, 5, 0.300165, 0.720531
10, 0.100000, 10, 6, 0.300256, 0.726764
10, 0.100000, 10, 7, 0.300214, 0.725343
10, 0.100000, 10, 8, 0.300240, 0.725492
10, 0.100000, 10, 9, 0.300182, 0.725554
100, 0.100000, 10, 0, 0.300196, 12.171623
100, 0.100000, 10, 1, 0.300222, 11.120463
100, 0.100000, 10, 2, 0.300214, 11.113145
100, 0.100000, 10, 3, 0.300147, 11.147172
100, 0.100000, 10, 4, 0.300248, 11.296458
100, 0.100000, 10, 5, 0.300169, 11.116029
100, 0.100000, 10, 6, 0.300212, 11.155828
100, 0.100000, 10, 7, 0.300148, 11.128297
100, 0.100000, 10, 8, 0.300190, 11.116322
100, 0.100000, 10, 9, 0.300233, 12.003814
