d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.999910, 0.712008
1, 0.100000, 10, 1, 0.999962, 0.733532
1, 0.100000, 10, 2, 1.000005, 0.731171
1, 0.100000, 10, 3, 0.999917, 0.732625
1, 0.100000, 10, 4, 0.999927, 0.733599
1, 0.100000, 10, 5, 0.999903, 0.741769
1, 0.100000, 10, 6, 0.999979, 0.738103
1, 0.100000, 10, 7, 0.999869, 0.734916
1, 0.100000, 10, 8, 0.999993, 0.741786
1, 0.100000, 10, 9, 0.999998, 0.737447
10, 0.100000, 10, 0, 1.000163, 1.676744
10, 0.100000, 10, 1, 1.000168, 1.620013
10, 0.100000, 10, 2, 1.000168, 1.611162
10, 0.100000, 10, 3, 1.000163, 1.644646
10, 0.100000, 10, 4, 1.000165, 1.627570
10, 0.100000, 10, 5, 1.000176, 1.625874
10, 0.100000, 10, 6, 1.000160, 1.675404
10, 0.100000, 10, 7, 1.000162, 1.677540
10, 0.100000, 10, 8, 1.000175, 1.695595
10, 0.100000, 10, 9, 1.000158, 1.715874
100, 0.100000, 10, 0, 22.876200, 104.536169
100, 0.100000, 10, 1, 28.090838, 102.502718
100, 0.100000, 10, 2, 38.255835, 102.100044
100, 0.100000, 10, 3, 22.501988, 101.733252
100, 0.100000, 10, 4, 23.294603, 101.721924
100, 0.100000, 10, 5, 31.606204, 106.048220
100, 0.100000, 10, 6, 30.231545, 104.209188
100, 0.100000, 10, 7, 30.254098, 106.082788
100, 0.100000, 10, 8, 10.889893, 103.973785
100, 0.100000, 10, 9, 23.202665, 105.666739
