d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.300216, 0.079578
1, 0.100000, 10, 1, 0.300180, 0.083664
1, 0.100000, 10, 2, 0.300226, 0.083242
1, 0.100000, 10, 3, 0.300307, 0.079266
1, 0.100000, 10, 4, 0.300202, 0.082350
1, 0.100000, 10, 5, 0.300305, 0.078993
1, 0.100000, 10, 6, 0.300110, 0.081831
1, 0.100000, 10, 7, 0.300170, 0.082302
1, 0.100000, 10, 8, 0.300232, 0.086894
1, 0.100000, 10, 9, 0.300255, 0.084422
10, 0.100000, 10, 0, 0.300189, 0.352519
10, 0.100000, 10, 1, 0.300207, 0.316173
10, 0.100000, 10, 2, 0.300181, 0.296997
10, 0.100000, 10, 3, 0.300196, 0.305975
10, 0.100000, 10, 4, 0.300184, 0.303779
10, 0.100000, 10, 5, 0.300208, 0.283529
10, 0.100000, 10, 6, 0.300178, 0.298436
10, 0.100000, 10, 7, 0.300178, 0.297225
10, 0.100000, 10, 8, 0.300174, 0.309953
10, 0.100000, 10, 9, 0.300189, 0.309728
100, 0.100000, 10, 0, 0.300198, 20.836542
100, 0.100000, 10, 1, 0.300193, 20.301865
100, 0.100000, 10, 2, 0.300196, 20.896597
100, 0.100000, 10, 3, 0.300203, 20.311041
100, 0.100000, 10, 4, 0.300197, 19.722934
100, 0.100000, 10, 5, 0.300205, 20.879230
100, 0.100000, 10, 6, 0.300199, 19.237062
100, 0.100000, 10, 7, 0.300200, 19.630054
100, 0.100000, 10, 8, 0.300192, 19.167717
100, 0.100000, 10, 9, 0.300195, 19.532062
