d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.306731, 6.714540
1, 0.100000, 10, 1, 0.303369, 6.828059
1, 0.100000, 10, 2, 0.302886, 6.937463
1, 0.100000, 10, 3, 0.298013, 6.978145
1, 0.100000, 10, 4, 0.305657, 6.863909
1, 0.100000, 10, 5, 0.303620, 7.299526
1, 0.100000, 10, 6, 0.297339, 7.186383
1, 0.100000, 10, 7, 0.298877, 7.502238
1, 0.100000, 10, 8, 0.300485, 7.457930
1, 0.100000, 10, 9, 0.302266, 7.343714
10, 0.100000, 10, 0, 0.287727, 146.657268
10, 0.100000, 10, 1, 0.311141, 149.614871
10, 0.100000, 10, 2, 0.308313, 150.626555
10, 0.100000, 10, 3, 0.309861, 154.978910
10, 0.100000, 10, 4, 0.284481, 158.044399
10, 0.100000, 10, 5, 0.310130, 158.926200
10, 0.100000, 10, 6, 0.298660, 161.311093
