d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.301113, 45.625005
1, 0.100000, 10, 1, 0.285087, 45.766215
1, 0.100000, 10, 2, 0.298828, 45.592196
1, 0.100000, 10, 3, 0.293473, 45.839909
1, 0.100000, 10, 4, 0.301001, 46.390861
1, 0.100000, 10, 5, 0.300350, 46.164186
1, 0.100000, 10, 6, 0.300030, 45.391878
1, 0.100000, 10, 7, 0.301379, 46.290879
1, 0.100000, 10, 8, 0.312176, 45.965996
1, 0.100000, 10, 9, 0.299940, 45.980867
10, 0.100000, 10, 0, 0.300440, 51.897850
10, 0.100000, 10, 1, 0.298240, 51.893017
10, 0.100000, 10, 2, 0.300518, 52.432606
10, 0.100000, 10, 3, 0.300839, 52.053925
10, 0.100000, 10, 4, 0.301063, 52.262153
10, 0.100000, 10, 5, 0.300834, 52.156021
10, 0.100000, 10, 6, 0.300286, 52.700145
10, 0.100000, 10, 7, 0.300468, 52.839698
10, 0.100000, 10, 8, 0.298054, 52.900524
10, 0.100000, 10, 9, 0.300282, 52.834158
100, 0.100000, 10, 0, 0.300325, 236.094784
100, 0.100000, 10, 1, 0.300139, 241.495758
100, 0.100000, 10, 2, 0.300319, 240.591401
100, 0.100000, 10, 3, 0.300227, 242.417531
100, 0.100000, 10, 4, 0.300303, 244.709746
100, 0.100000, 10, 5, 0.300353, 247.266232
100, 0.100000, 10, 6, 0.300193, 238.944165
100, 0.100000, 10, 7, 0.300435, 245.842834
100, 0.100000, 10, 8, 0.300251, 242.338295
100, 0.100000, 10, 9, 0.300466, 240.105049
