d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.300094, 0.508525
1, 0.100000, 10, 1, 0.300243, 0.509343
1, 0.100000, 10, 2, 0.300093, 0.509863
1, 0.100000, 10, 3, 0.300195, 0.509117
1, 0.100000, 10, 4, 0.300279, 0.512570
1, 0.100000, 10, 5, 0.300263, 0.511041
1, 0.100000, 10, 6, 0.300274, 0.511868
1, 0.100000, 10, 7, 0.300552, 0.512599
1, 0.100000, 10, 8, 0.300072, 0.511437
1, 0.100000, 10, 9, 0.300654, 0.512249
10, 0.100000, 10, 0, 0.300339, 0.721149
10, 0.100000, 10, 1, 0.300229, 0.726601
10, 0.100000, 10, 2, 0.300190, 0.724409
10, 0.100000, 10, 3, 0.300208, 0.724021
10, 0.100000, 10, 4, 0.300210, 0.727172
10, 0.100000, 10, 5, 0.300243, 0.728296
10, 0.100000, 10, 6, 0.300240, 0.721840
10, 0.100000, 10, 7, 0.300102, 0.722753
10, 0.100000, 10, 8, 0.300231, 0.722062
10, 0.100000, 10, 9, 0.300264, 0.724461
100, 0.100000, 10, 0, 0.300172, 10.973511
100, 0.100000, 10, 1, 0.300176, 10.916835
100, 0.100000, 10, 2, 0.300214, 10.918245
100, 0.100000, 10, 3, 0.300198, 10.921970
100, 0.100000, 10, 4, 0.300222, 10.926946
100, 0.100000, 10, 5, 0.300171, 12.065115
100, 0.100000, 10, 6, 0.300176, 11.071853
100, 0.100000, 10, 7, 0.300201, 11.098585
100, 0.100000, 10, 8, 0.300221, 11.059948
100, 0.100000, 10, 9, 0.300208, 10.930280
