d,T,N,run,y0,runtime
1, 1.000000, 100, 0, 0.301098, 5.188624
1, 1.000000, 100, 1, 0.301587, 5.588021
1, 1.000000, 100, 2, 0.302133, 5.118504
1, 1.000000, 100, 3, 0.302341, 5.141641
1, 1.000000, 100, 4, 0.302220, 5.104861
1, 1.000000, 100, 5, 0.301829, 5.124918
1, 1.000000, 100, 6, 0.301465, 5.175622
1, 1.000000, 100, 7, 0.302327, 5.604347
1, 1.000000, 100, 8, 0.302302, 5.578357
1, 1.000000, 100, 9, 0.301633, 5.112567
10, 1.000000, 100, 0, 0.301704, 7.421752
10, 1.000000, 100, 1, 0.301850, 7.414735
10, 1.000000, 100, 2, 0.301818, 8.338265
10, 1.000000, 100, 3, 0.302127, 7.478568
10, 1.000000, 100, 4, 0.301390, 7.889345
10, 1.000000, 100, 5, 0.302258, 7.771129
10, 1.000000, 100, 6, 0.302197, 7.795234
10, 1.000000, 100, 7, 0.301905, 7.652647
10, 1.000000, 100, 8, 0.302010, 7.655757
10, 1.000000, 100, 9, 0.302275, 7.393209
100, 1.000000, 100, 0, 0.301948, 206.355520
100, 1.000000, 100, 1, 0.302003, 178.998870
100, 1.000000, 100, 2, 0.302035, 188.937979
100, 1.000000, 100, 3, 0.301980, 187.036712
100, 1.000000, 100, 4, 0.302024, 192.864219
100, 1.000000, 100, 5, 0.302010, 189.650609
100, 1.000000, 100, 6, 0.302001, 191.451555
100, 1.000000, 100, 7, 0.301948, 195.723127
100, 1.000000, 100, 8, 0.301955, 200.544258
100, 1.000000, 100, 9, 0.301997, 199.825602
