d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.301008, 0.507344
1, 0.100000, 10, 1, 0.300583, 0.509885
1, 0.100000, 10, 2, 0.300962, 0.513247
1, 0.100000, 10, 3, 0.300835, 0.510143
1, 0.100000, 10, 4, 0.300884, 0.508918
1, 0.100000, 10, 5, 0.300935, 0.513791
1, 0.100000, 10, 6, 0.300451, 0.508095
1, 0.100000, 10, 7, 0.300235, 0.512084
1, 0.100000, 10, 8, 0.300702, 0.510186
1, 0.100000, 10, 9, 0.300843, 0.512827
10, 0.100000, 10, 0, 0.300752, 0.684184
10, 0.100000, 10, 1, 0.300644, 0.680657
10, 0.100000, 10, 2, 0.300805, 0.680359
10, 0.100000, 10, 3, 0.300689, 0.680690
10, 0.100000, 10, 4, 0.300639, 0.679037
10, 0.100000, 10, 5, 0.300769, 0.680778
10, 0.100000, 10, 6, 0.300634, 0.681274
10, 0.100000, 10, 7, 0.300703, 0.680106
10, 0.100000, 10, 8, 0.300589, 0.681163
10, 0.100000, 10, 9, 0.300637, 0.681699
100, 0.100000, 10, 0, 0.305451, 10.377876
100, 0.100000, 10, 1, 0.303519, 10.311051
100, 0.100000, 10, 2, 0.303227, 10.320998
100, 0.100000, 10, 3, 0.298203, 10.324733
100, 0.100000, 10, 4, 0.302369, 10.308741
100, 0.100000, 10, 5, 0.305635, 10.354580
100, 0.100000, 10, 6, 0.302509, 10.723438
100, 0.100000, 10, 7, 0.295106, 10.296124
100, 0.100000, 10, 8, 0.297872, 10.296476
100, 0.100000, 10, 9, 0.307414, 10.299109
