d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.300169, 3.270128
1, 0.100000, 10, 1, 0.299998, 3.272667
1, 0.100000, 10, 2, 0.300537, 4.993083
1, 0.100000, 10, 3, 0.301101, 3.271868
1, 0.100000, 10, 4, 0.302071, 3.284017
1, 0.100000, 10, 5, 0.300867, 3.273359
1, 0.100000, 10, 6, 0.299679, 3.258833
1, 0.100000, 10, 7, 0.301703, 3.252950
1, 0.100000, 10, 8, 0.298915, 3.813560
1, 0.100000, 10, 9, 0.301607, 3.304599
10, 0.100000, 10, 0, 0.303371, 70.099778
10, 0.100000, 10, 1, 0.300801, 69.634460
10, 0.100000, 10, 2, 0.297862, 69.770011
10, 0.100000, 10, 3, 0.301706, 73.831712
10, 0.100000, 10, 4, 0.306176, 70.397848
10, 0.100000, 10, 5, 0.303647, 70.216681
10, 0.100000, 10, 6, 0.305068, 71.540984
10, 0.100000, 10, 7, 0.296552, 69.964505
10, 0.100000, 10, 8, 0.300998, 69.708377
10, 0.100000, 10, 9, 0.296432, 69.737592
