d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.300634, 0.503047
1, 0.100000, 10, 1, 0.300552, 0.501728
1, 0.100000, 10, 2, 0.300631, 0.502718
1, 0.100000, 10, 3, 0.300950, 0.502813
1, 0.100000, 10, 4, 0.300701, 0.501635
1, 0.100000, 10, 5, 0.300821, 0.503128
1, 0.100000, 10, 6, 0.300584, 0.504140
1, 0.100000, 10, 7, 0.300636, 0.502066
1, 0.100000, 10, 8, 0.300743, 0.505735
1, 0.100000, 10, 9, 0.300964, 0.501010
10, 0.100000, 10, 0, 0.300625, 0.682754
10, 0.100000, 10, 1, 0.300741, 0.680116
10, 0.100000, 10, 2, 0.300721, 0.679287
10, 0.100000, 10, 3, 0.300676, 0.680694
10, 0.100000, 10, 4, 0.300794, 0.681344
10, 0.100000, 10, 5, 0.300527, 0.679082
10, 0.100000, 10, 6, 0.300596, 0.681397
10, 0.100000, 10, 7, 0.300809, 0.679162
10, 0.100000, 10, 8, 0.300790, 0.678990
10, 0.100000, 10, 9, 0.300646, 0.679548
100, 0.100000, 10, 0, 0.295974, 10.562011
100, 0.100000, 10, 1, 0.306692, 10.401478
100, 0.100000, 10, 2, 0.300566, 10.393923
100, 0.100000, 10, 3, 0.301833, 10.396978
100, 0.100000, 10, 4, 0.300829, 11.247280
100, 0.100000, 10, 5, 0.297814, 10.515366
100, 0.100000, 10, 6, 0.300072, 10.539221
100, 0.100000, 10, 7, 0.297821, 10.567756
100, 0.100000, 10, 8, 0.303875, 10.557421
100, 0.100000, 10, 9, 0.300529, 10.550005
