d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 1.000031, 0.209971
1, 0.100000, 10, 1, 0.999976, 0.212050
1, 0.100000, 10, 2, 0.999983, 0.212833
1, 0.100000, 10, 3, 0.999948, 0.213273
1, 0.100000, 10, 4, 1.000003, 0.213262
1, 0.100000, 10, 5, 1.000009, 0.212786
1, 0.100000, 10, 6, 0.999949, 0.213632
1, 0.100000, 10, 7, 0.999997, 0.215337
1, 0.100000, 10, 8, 1.000006, 0.213065
1, 0.100000, 10, 9, 1.000009, 0.213018
10, 0.100000, 10, 0, 1.000159, 0.598254
10, 0.100000, 10, 1, 1.000157, 0.598008
10, 0.100000, 10, 2, 1.000173, 0.597025
10, 0.100000, 10, 3, 1.000180, 0.599086
10, 0.100000, 10, 4, 1.000163, 0.616710
10, 0.100000, 10, 5, 1.000166, 1.078499
10, 0.100000, 10, 6, 1.000172, 0.875929
10, 0.100000, 10, 7, 1.000181, 0.595989
10, 0.100000, 10, 8, 1.000167, 0.596782
10, 0.100000, 10, 9, 1.000170, 0.596690
100, 0.100000, 10, 0, 19.709911, 80.756883
100, 0.100000, 10, 1, 15.928925, 76.503232
100, 0.100000, 10, 2, 15.143616, 75.169389
100, 0.100000, 10, 3, 25.209508, 75.531807
100, 0.100000, 10, 4, 20.350663, 77.916637
100, 0.100000, 10, 5, 12.932772, 73.955932
100, 0.100000, 10, 6, 14.731953, 74.394943
100, 0.100000, 10, 7, 14.680771, 73.942590
100, 0.100000, 10, 8, 17.928005, 73.135567
100, 0.100000, 10, 9, 22.910243, 72.677349
