d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.300567, 22.051804
1, 0.100000, 10, 1, 0.297982, 23.604755
1, 0.100000, 10, 2, 0.299965, 23.714773
1, 0.100000, 10, 3, 0.302279, 23.849767
1, 0.100000, 10, 4, 0.303099, 24.715339
1, 0.100000, 10, 5, 0.295039, 24.847334
1, 0.100000, 10, 6, 0.299797, 25.830495
1, 0.100000, 10, 7, 0.301750, 29.182452
1, 0.100000, 10, 8, 0.299473, 25.959469
1, 0.100000, 10, 9, 0.302593, 25.523231
10, 0.100000, 10, 0, 0.311152, 521.496547
10, 0.100000, 10, 1, 0.308477, 504.055200
10, 0.100000, 10, 2, 0.298785, 516.022334
10, 0.100000, 10, 3, 0.298503, 519.795037
10, 0.100000, 10, 4, 0.318911, 525.788333
10, 0.100000, 10, 5, 0.285749, 520.499190
10, 0.100000, 10, 6, 0.309795, 518.853508
10, 0.100000, 10, 7, 0.295166, 522.497561
10, 0.100000, 10, 8, 0.297429, 537.780191
10, 0.100000, 10, 9, 0.316363, 531.476833
