d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.303959, 23.483210
1, 0.100000, 10, 1, 0.305186, 24.249658
1, 0.100000, 10, 2, 0.297484, 23.619086
1, 0.100000, 10, 3, 0.300738, 25.358026
1, 0.100000, 10, 4, 0.303270, 27.563284
1, 0.100000, 10, 5, 0.299495, 25.487059
1, 0.100000, 10, 6, 0.302582, 25.685015
1, 0.100000, 10, 7, 0.301295, 26.819871
1, 0.100000, 10, 8, 0.302536, 26.494108
1, 0.100000, 10, 9, 0.302614, 26.372623
10, 0.100000, 10, 0, 0.287741, 514.006594
10, 0.100000, 10, 1, 0.318948, 511.125305
10, 0.100000, 10, 2, 0.299720, 515.770574
10, 0.100000, 10, 3, 0.296167, 526.919762
10, 0.100000, 10, 4, 0.310822, 512.908421
10, 0.100000, 10, 5, 0.317860, 515.414490
10, 0.100000, 10, 6, 0.298542, 526.328600
10, 0.100000, 10, 7, 0.296285, 518.705232
10, 0.100000, 10, 8, 0.307729, 523.606740
10, 0.100000, 10, 9, 0.296701, 525.188156
