d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.986245, 25.119072
1, 0.100000, 10, 1, 1.009372, 26.573885
1, 0.100000, 10, 2, 0.987911, 24.017931
1, 0.100000, 10, 3, 1.018867, 24.962529
1, 0.100000, 10, 4, 1.009192, 26.108775
1, 0.100000, 10, 5, 1.012227, 24.808387
1, 0.100000, 10, 6, 0.998871, 26.918283
1, 0.100000, 10, 7, 0.992373, 25.858113
1, 0.100000, 10, 8, 0.991746, 26.458044
1, 0.100000, 10, 9, 1.001712, 25.637518
10, 0.100000, 10, 0, 0.599635, 503.022699
10, 0.100000, 10, 1, 0.984885, 517.363197
10, 0.100000, 10, 2, 0.802805, 518.001510
10, 0.100000, 10, 3, 0.975933, 527.466280
10, 0.100000, 10, 4, 1.009812, 512.473610
10, 0.100000, 10, 5, 1.010537, 514.133013
10, 0.100000, 10, 6, 1.049184, 526.346173
10, 0.100000, 10, 7, 0.943237, 514.813752
10, 0.100000, 10, 8, 0.934242, 514.022551
10, 0.100000, 10, 9, 1.226971, 522.021112
