d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 1.102644, 0.603044
1, 0.100000, 10, 1, 1.085437, 0.623344
1, 0.100000, 10, 2, 1.077331, 0.621551
1, 0.100000, 10, 3, 1.014183, 0.629449
1, 0.100000, 10, 4, 1.084578, 0.617158
1, 0.100000, 10, 5, 1.090666, 0.633094
1, 0.100000, 10, 6, 1.092233, 0.631678
1, 0.100000, 10, 7, 1.074155, 0.634307
1, 0.100000, 10, 8, 1.048432, 0.631964
1, 0.100000, 10, 9, 1.085426, 0.644537
10, 0.100000, 10, 0, 2.614016, 1.679163
10, 0.100000, 10, 1, 1.934858, 1.646986
10, 0.100000, 10, 2, 2.169944, 1.655317
10, 0.100000, 10, 3, 2.127461, 1.630704
10, 0.100000, 10, 4, 2.806142, 1.627290
10, 0.100000, 10, 5, 1.873557, 1.643701
10, 0.100000, 10, 6, 2.327086, 1.619242
10, 0.100000, 10, 7, 2.756334, 1.696582
10, 0.100000, 10, 8, 3.043406, 1.660233
10, 0.100000, 10, 9, 1.835317, 1.691013
100, 0.100000, 10, 0, 290.901095, 104.577320
100, 0.100000, 10, 1, 251.060840, 104.648335
100, 0.100000, 10, 2, 422.620811, 100.284813
100, 0.100000, 10, 3, 336.763822, 100.105506
100, 0.100000, 10, 4, 278.127009, 100.178284
100, 0.100000, 10, 5, 360.720579, 100.080717
100, 0.100000, 10, 6, 308.812082, 99.779017
100, 0.100000, 10, 7, 513.686639, 102.185719
100, 0.100000, 10, 8, 314.324033, 101.326980
100, 0.100000, 10, 9, 205.835858, 103.301158
