d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.297406, 7.879390
1, 0.100000, 10, 1, 0.299020, 7.725556
1, 0.100000, 10, 2, 0.299400, 7.521735
1, 0.100000, 10, 3, 0.299659, 7.656622
1, 0.100000, 10, 4, 0.302074, 7.623339
1, 0.100000, 10, 5, 0.301608, 7.748811
1, 0.100000, 10, 6, 0.303296, 7.775731
1, 0.100000, 10, 7, 0.300570, 7.708722
1, 0.100000, 10, 8, 0.301574, 7.651868
1, 0.100000, 10, 9, 0.304795, 7.665778
10, 0.100000, 10, 0, 0.301994, 224.277901
10, 0.100000, 10, 1, 0.297497, 226.360638
10, 0.100000, 10, 2, 0.299338, 225.251244
10, 0.100000, 10, 3, 0.308175, 227.107780
10, 0.100000, 10, 4, 0.299164, 225.753681
10, 0.100000, 10, 5, 0.299043, 226.276377
10, 0.100000, 10, 6, 0.299446, 224.723260
10, 0.100000, 10, 7, 0.300829, 224.764886
10, 0.100000, 10, 8, 0.304501, 224.196091
10, 0.100000, 10, 9, 0.301083, 225.836655
