d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 1.000820, 61.590964
1, 0.100000, 10, 1, 1.000701, 61.490523
1, 0.100000, 10, 2, 1.000680, 61.352178
1, 0.100000, 10, 3, 1.000844, 61.565935
1, 0.100000, 10, 4, 1.000647, 61.605874
1, 0.100000, 10, 5, 1.000869, 61.478061
1, 0.100000, 10, 6, 1.000897, 61.560351
1, 0.100000, 10, 7, 1.000830, 61.375659
1, 0.100000, 10, 8, 1.000932, 61.775336
1, 0.100000, 10, 9, 1.000829, 61.703674
10, 0.100000, 10, 0, 1.001357, 62.808444
10, 0.100000, 10, 1, 1.000976, 62.561268
10, 0.100000, 10, 2, 1.000780, 62.800794
10, 0.100000, 10, 3, 1.000912, 62.906282
10, 0.100000, 10, 4, 1.000835, 62.734421
10, 0.100000, 10, 5, 1.000652, 62.604563
10, 0.100000, 10, 6, 1.001168, 62.600929
10, 0.100000, 10, 7, 1.000824, 62.798825
10, 0.100000, 10, 8, 1.000665, 62.933836
10, 0.100000, 10, 9, 1.000972, 62.848132
100, 0.100000, 10, 0, 1.002113, 82.403744
100, 0.100000, 10, 1, 1.002126, 82.684872
100, 0.100000, 10, 2, 1.001667, 82.424821
100, 0.100000, 10, 3, 1.002886, 82.629793
100, 0.100000, 10, 4, 1.003373, 82.550946
100, 0.100000, 10, 5, 1.002303, 82.362920
100, 0.100000, 10, 6, 1.002590, 82.726066
100, 0.100000, 10, 7, 1.002222, 82.631893
100, 0.100000, 10, 8, 1.002995, 82.346798
100, 0.100000, 10, 9, 1.002461, 82.410349
