d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.301052, 1.279145
1, 0.100000, 10, 1, 0.300088, 1.283830
1, 0.100000, 10, 2, 0.301051, 1.256398
1, 0.100000, 10, 3, 0.300202, 1.346786
1, 0.100000, 10, 4, 0.300281, 1.263287
1, 0.100000, 10, 5, 0.300745, 1.257626
1, 0.100000, 10, 6, 0.300365, 1.261823
1, 0.100000, 10, 7, 0.300837, 1.271813
1, 0.100000, 10, 8, 0.300444, 1.290971
1, 0.100000, 10, 9, 0.300970, 1.257533
10, 0.100000, 10, 0, 0.300723, 1.635457
10, 0.100000, 10, 1, 0.300668, 1.609023
10, 0.100000, 10, 2, 0.300609, 1.643158
10, 0.100000, 10, 3, 0.300592, 1.626782
10, 0.100000, 10, 4, 0.300774, 1.629943
10, 0.100000, 10, 5, 0.300761, 1.657305
10, 0.100000, 10, 6, 0.300497, 1.628974
10, 0.100000, 10, 7, 0.300914, 1.638196
10, 0.100000, 10, 8, 0.300751, 1.651160
10, 0.100000, 10, 9, 0.300519, 1.652150
100, 0.100000, 10, 0, 0.290445, 20.701672
100, 0.100000, 10, 1, 0.298558, 20.873823
100, 0.100000, 10, 2, 0.315103, 20.732214
100, 0.100000, 10, 3, 0.297441, 20.742113
100, 0.100000, 10, 4, 0.308133, 20.528538
100, 0.100000, 10, 5, 0.299111, 20.825192
100, 0.100000, 10, 6, 0.294413, 20.724798
100, 0.100000, 10, 7, 0.302371, 24.298946
100, 0.100000, 10, 8, 0.301547, 21.030972
100, 0.100000, 10, 9, 0.298572, 20.561675
